,geo,lon,lat,-1,0,1,neg_percent
95,MONTPELLIER,3.87048,43.610476,0.0,0.0,2.0,0
96,Marignane (13),5.022323,44.056448,0.0,4.0,8.0,0
97,Marly (59),-61.340045,16.278036,0.0,0.0,2.0,0
98,Marseille,5.405,43.282,0.0,0.0,2.0,0
99,Marseille (13),5.405,43.282,0.0,0.0,10.0,0
100,Maubeuge,3.965341,50.284569,2.0,0.0,0.0,100
101,Maurepas (78),-1.193264,48.097112,0.0,0.0,4.0,0
102,Mauriac (15),0.321471,44.847989,0.0,0.0,2.0,0
103,Melun (77),2.659426,48.541342,0.0,0.0,6.0,0
104,"Melun,",2.659426,48.541342,0.0,0.0,2.0,0
105,Metz (57),6.194897,49.108385,0.0,0.0,2.0,0
106,Montbéliard (25),6.79471,47.509571,0.0,4.0,4.0,0
107,Montgeron (91),2.455399,48.704816,0.0,0.0,8.0,0
108,Montivilliers (76),0.18827,49.542858,0.0,0.0,2.0,0
109,Montluçon (03),2.856052,47.687336,0.0,0.0,2.0,0
110,Montmagny (95),2.347039,48.967674,0.0,2.0,0.0,0
111,Montpellier (34),3.87048,43.610476,2.0,0.0,4.0,33
112,"Montpellier, A9",3.87048,43.610476,0.0,0.0,2.0,0
113,Morhange (57),6.642155,48.929335,0.0,2.0,0.0,0
114,Mulhouse (68),7.326517,47.751678,0.0,0.0,2.0,0
115,Muret (31),1.298368,43.446371,0.0,0.0,2.0,0
116,Mérignac (33),-0.354007,45.831455,2.0,2.0,10.0,14
117,Nanterre,2.202314,48.898095,0.0,0.0,70.0,0
118,Nanterre (92),2.202314,48.898095,2.0,6.0,14.0,9
119,Nantes,-1.555335,47.239367,0.0,0.0,4.0,0
120,Nantes (44),-1.555335,47.239367,0.0,0.0,8.0,0
121,Narbonne,0.649303,47.31119,2.0,0.0,2.0,50
122,Narbonne (11),0.649303,47.31119,0.0,4.0,6.0,0
123,Nice (06),7.250987,43.713012,0.0,2.0,6.0,0
124,Nîmes (30),4.936431,45.691355,2.0,0.0,10.0,17
125,"Nîmes, A9",-3.262016,47.695631,0.0,0.0,2.0,0
126,Orléans (45),6.121064,48.765601,2.0,0.0,4.0,33
127,Orvault,-1.86835,47.625765,0.0,0.0,2.0,0
128,Orvault (44),-1.86835,47.625765,0.0,0.0,8.0,0
129,Pantin (93),2.409457,48.900267,0.0,0.0,2.0,0
130,"Pantin, A8",2.409457,48.900267,0.0,0.0,2.0,0
131,Paris,2.347,48.859,4.0,0.0,12.0,25
132,Paris (75),2.347,48.859,8.0,14.0,30.0,15
133,Paris 12e (75),1.291913,43.176055,0.0,0.0,2.0,0
134,Paris 13e (75),1.291913,43.176055,0.0,0.0,4.0,0
135,Paris 15e (75),1.291913,43.176055,0.0,2.0,2.0,0
136,Paris 17e (75),1.291913,43.176055,2.0,0.0,0.0,100
137,Paris 8e (75),1.291913,43.176055,0.0,0.0,2.0,0
138,"Paris, A8",7.524655,43.791092,0.0,4.0,2.0,0
139,Pau (64),-0.343106,43.313159,0.0,0.0,8.0,0
140,"Pau, 64",-0.343106,43.313159,0.0,0.0,2.0,0
141,Perpignan (66),2.902687,42.70298,0.0,0.0,2.0,0
142,Ploërmel (56),-2.486762,48.377483,0.0,0.0,2.0,0
143,Plélo (22),5.397351,44.735771,0.0,0.0,2.0,0
144,Poitiers,0.356849,46.586616,0.0,0.0,2.0,0
145,Poitiers (86),0.356849,46.586616,0.0,0.0,4.0,0
146,Puteaux (92),2.237177,48.884331,0.0,0.0,4.0,0
147,Périgueux (24),0.711255,45.193338,2.0,2.0,0.0,50
148,Quimper (29),-4.093145,47.998749,0.0,0.0,2.0,0
149,RENNES,-1.68365,48.110899,0.0,0.0,2.0,0
150,Reims (51),4.055595,49.250948,2.0,2.0,10.0,14
151,Rennes,-1.68365,48.110899,0.0,0.0,2.0,0
152,Rennes (35),-1.68365,48.110899,0.0,0.0,2.0,0
153,"Rennes, A2",3.213291,45.896667,0.0,0.0,2.0,0
154,Rezé (44),-1.552789,47.17269,0.0,0.0,4.0,0
155,"Rezé, B5",-1.552789,47.17269,0.0,0.0,2.0,0
156,"Riom, 63",-2.135391,47.41459,0.0,0.0,2.0,0
157,Roanne (42),4.072015,46.043412,0.0,0.0,2.0,0
158,Rochefort (17),1.568976,43.217692,0.0,4.0,0.0,0
159,Rodez (12),2.566732,44.359272,0.0,2.0,8.0,0
160,Romagnat (63),3.095781,45.725005,0.0,0.0,2.0,0
161,"Roubaix, B4",3.183681,50.688472,0.0,2.0,0.0,0
162,Rouen (76),1.093912,49.440044,0.0,0.0,6.0,0
163,"Rouen, A7",-1.743175,47.966899,0.0,0.0,2.0,0
164,Saint-Denis (93),-1.460324,48.752988,2.0,0.0,0.0,100
165,Saint-Lô (50),-0.647217,45.748804,0.0,2.0,0.0,0
166,Saint-Étienne (42),2.77011,49.306354,0.0,0.0,4.0,0
167,Saintes (17),-0.647217,45.748804,0.0,0.0,2.0,0
168,Sannois (95),2.253694,48.973523,0.0,2.0,0.0,0
169,TROYES,4.075149,48.292817,0.0,0.0,2.0,0
170,Tarbes (65),0.065776,43.239085,4.0,2.0,4.0,40
171,Thionville (57),6.150553,49.370617,0.0,4.0,0.0,0
172,Toulon (83),5.933457,43.136385,0.0,2.0,4.0,0
173,"Toulon, 83",5.933457,43.136385,0.0,0.0,2.0,0
174,"Toulon, B8",5.933457,43.136385,0.0,0.0,2.0,0
175,Toulouse,1.433805,43.604082,0.0,0.0,2.0,0
176,Toulouse (31),1.433805,43.604082,0.0,2.0,18.0,0
177,Tourcoing,3.157799,50.720797,0.0,0.0,2.0,0
178,Tourcoing (59),3.157799,50.720797,0.0,2.0,2.0,0
179,Tours (37),0.69472,47.395476,0.0,0.0,8.0,0
180,"Tours, A3",2.564475,44.944333,0.0,0.0,4.0,0
181,Troyes (10),4.075149,48.292817,0.0,0.0,2.0,0
182,Tulle (19),1.764073,45.267177,0.0,0.0,2.0,0
183,Ulis (91),2.188005,48.676391,2.0,0.0,0.0,100
184,Valence (26),4.923011,44.921313,0.0,0.0,12.0,0
185,Valenciennes (59),3.510438,50.358552,4.0,0.0,10.0,29
186,Vannes (56),-2.751489,47.659779,0.0,0.0,2.0,0
187,Vichy (03),3.428457,46.130925,0.0,0.0,2.0,0
188,Vienne (38),1.125303,45.802269,2.0,0.0,6.0,25
189,Vénissieux (69),4.881379,45.707095,0.0,2.0,4.0,0
190,arras,2.768267,50.287896,0.0,0.0,2.0,0
191,dax,1.746158,43.412631,0.0,0.0,2.0,0
192,lyon,4.835,45.758,0.0,0.0,2.0,0
193,merignac,-0.674682,44.83337,0.0,0.0,2.0,0
194,paris,2.347,48.859,0.0,0.0,6.0,0
195,rennes,-1.68365,48.110899,0.0,0.0,2.0,0
196,thionville,6.150553,49.370617,0.0,0.0,2.0,0
197,toulouse,1.433805,43.604082,0.0,0.0,2.0,0
198,Épinal (88),5.719126,45.191209,0.0,2.0,4.0,0
199,Évreux,6.202469,47.645565,0.0,0.0,2.0,0
200,Évreux (27),6.202469,47.645565,0.0,0.0,2.0,0
